course_code,course_title,subject,subject_name,course_number
ANCIENT 742,Greek Language (Higher II),ANCIENT,Classical Studs & Ancient Hist,742
ANCIENT 742A,Greek Language (Higher II),ANCIENT,Classical Studs & Ancient Hist,742A
ANCIENT 742B,Greek Language (Higher II),ANCIENT,Classical Studs & Ancient Hist,742B
ANCIENT 743,Latin Language (Higher II),ANCIENT,Classical Studs & Ancient Hist,743
ANCIENT 743A,Latin Language (Higher II),ANCIENT,Classical Studs & Ancient Hist,743A
ANCIENT 743B,Latin Language (Higher II),ANCIENT,Classical Studs & Ancient Hist,743B
ANCIENT 744,Greek Language (Higher III),ANCIENT,Classical Studs & Ancient Hist,744
ANCIENT 744A,Greek Language (Higher III),ANCIENT,Classical Studs & Ancient Hist,744A
ANCIENT 744B,Greek Language (Higher III),ANCIENT,Classical Studs & Ancient Hist,744B
ANCIENT 745,Latin Language (Higher III),ANCIENT,Classical Studs & Ancient Hist,745
ANCIENT 745A,Latin Language (Higher III),ANCIENT,Classical Studs & Ancient Hist,745A
ANCIENT 745B,Latin Language (Higher III),ANCIENT,Classical Studs & Ancient Hist,745B
ANCIENT 749A,Themes and Issues in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,749A
ANCIENT 749B,Themes and Issues in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,749B
ANCIENT 750A,Sources and Approaches for the Ancient World,ANCIENT,Classical Studs & Ancient Hist,750A
ANCIENT 750B,Sources and Approaches for the Ancient World,ANCIENT,Classical Studs & Ancient Hist,750B
ANCIENT 751A,Ancient Societies in the Mediterranean World,ANCIENT,Classical Studs & Ancient Hist,751A
ANCIENT 751B,Ancient Societies in the Mediterranean World,ANCIENT,Classical Studs & Ancient Hist,751B
ANCIENT 756,Research Project - Level 9,ANCIENT,Classical Studs & Ancient Hist,756
ANCIENT 792,Dissertation,ANCIENT,Classical Studs & Ancient Hist,792
ANCIENT 792A,Dissertation,ANCIENT,Classical Studs & Ancient Hist,792A
ANCIENT 792B,Dissertation,ANCIENT,Classical Studs & Ancient Hist,792B
ANCIENT 794A,Thesis,ANCIENT,Classical Studs & Ancient Hist,794A
ANCIENT 794B,Thesis,ANCIENT,Classical Studs & Ancient Hist,794B
ANCIENT 796A,Thesis,ANCIENT,Classical Studs & Ancient Hist,796A
ANCIENT 796B,Thesis,ANCIENT,Classical Studs & Ancient Hist,796B
ANCIENT 797A,Research Portfolio,ANCIENT,Classical Studs & Ancient Hist,797A
ANCIENT 797B,Research Portfolio,ANCIENT,Classical Studs & Ancient Hist,797B
ANTHRO (208),Medical Anthropology ** available as of 01/01/2027,ANTHRO,Anthropology,(208)
ANTHRO (352),Special Topic: Shared World: Humans and Animals ** available as of 01/01/2027,ANTHRO,Anthropology,(352)
ANTHRO (372),Medical Anthropology ** available as of 01/01/2027,ANTHRO,Anthropology,(372)
ANTHRO (762),Biological Anthropology Theory ** available as of 01/01/2027,ANTHRO,Anthropology,(762)
ANTHRO 108,Being Human,ANTHRO,Anthropology,108
ANTHRO 110,Culture and Creativity,ANTHRO,Anthropology,110
ANTHRO 200,Archaeology: Understanding the Past,ANTHRO,Anthropology,200
ANTHRO 201,Human Evolution,ANTHRO,Anthropology,201
ANTHRO 202,Music and Identity in World Music Cultures,ANTHRO,Anthropology,202
ANTHRO 205,"Primate Behaviour, Ecology and Conservation",ANTHRO,Anthropology,205
ANTHRO 206,Origins of Civilisation,ANTHRO,Anthropology,206
ANTHRO 207,Archaeological History of Aotearoa New Zealand,ANTHRO,Anthropology,207
ANTHRO 208,Biosocial Medical Anthropology,ANTHRO,Anthropology,208
ANTHRO 212,Ethnographic Film and Photography,ANTHRO,Anthropology,212
ANTHRO 213,Questioning Race and Racism,ANTHRO,Anthropology,213
ANTHRO 217,"Rhythm, Blues and Rock",ANTHRO,Anthropology,217
ANTHRO 226,Imperialism and Immigration in the Americas,ANTHRO,Anthropology,226
ANTHRO 227,Future Generations Anthropology,ANTHRO,Anthropology,227
ANTHRO 228,Thinking Like a Social Anthropologist,ANTHRO,Anthropology,228
ANTHRO 234,Popular Musics of the Pacific,ANTHRO,Anthropology,234
ANTHRO 235,The Anthropology of Human Remains,ANTHRO,Anthropology,235
ANTHRO 236,Special Topic,ANTHRO,Anthropology,236
ANTHRO 237,Economy and Culture,ANTHRO,Anthropology,237
ANTHRO 241,Anthropology of the Body,ANTHRO,Anthropology,241
ANTHRO 248,Special Topic,ANTHRO,Anthropology,248
ANTHRO 250,World-view and Religion,ANTHRO,Anthropology,250
ANTHRO 252,Global Heritage Management,ANTHRO,Anthropology,252
ANTHRO 278,Indigenous Food Security,ANTHRO,Anthropology,278
ANTHRO 301,Contemporary Research in Music and Culture,ANTHRO,Anthropology,301
ANTHRO 306,Pacific Archaeology,ANTHRO,Anthropology,306
ANTHRO 317,Field Methods in Archaeology,ANTHRO,Anthropology,317
ANTHRO 319,World-view and Religion,ANTHRO,Anthropology,319
ANTHRO 321,Equality and Inequality,ANTHRO,Anthropology,321
ANTHRO 329,"Music of East Asia: Tradition, Modernity and Globalisation",ANTHRO,Anthropology,329
ANTHRO 337,"Birth, Death, and Disease: Anthropological Demography",ANTHRO,Anthropology,337
ANTHRO 340,Heritage Conservation in Aotearoa,ANTHRO,Anthropology,340
ANTHRO 345,Directed Study in Anthropology,ANTHRO,Anthropology,345
ANTHRO 348,Perspectives on Human Growth,ANTHRO,Anthropology,348
ANTHRO 349,"Primate Behaviour, Ecology and Conservation",ANTHRO,Anthropology,349
ANTHRO 351,Special Topic,ANTHRO,Anthropology,351
ANTHRO 352,Special Topic: Applied Anthropology,ANTHRO,Anthropology,352
ANTHRO 353,Archaeology in Practice,ANTHRO,Anthropology,353
ANTHRO 354,Anthropology of the Body,ANTHRO,Anthropology,354
ANTHRO 357,"Gender, Sexuality and Popular Music",ANTHRO,Anthropology,357
ANTHRO 360,Special Topic,ANTHRO,Anthropology,360
ANTHRO 366,"Medicine, Power and Politics",ANTHRO,Anthropology,366
ANTHRO 367,The Anthropology of Human Remains,ANTHRO,Anthropology,367
ANTHRO 370,Special Topic,ANTHRO,Anthropology,370
ANTHRO 372,Biosocial Medical Anthropology,ANTHRO,Anthropology,372
ANTHRO 373,Anthropological Images,ANTHRO,Anthropology,373
ANTHRO 374,Economy and Culture,ANTHRO,Anthropology,374
ANTHRO 377,Whiteness in the Settler State,ANTHRO,Anthropology,377
ANTHRO 378,Indigenous Food Security,ANTHRO,Anthropology,378
ANTHRO 379,Anthropology of Development,ANTHRO,Anthropology,379
ANTHRO 399,Capstone: Anthropological Science,ANTHRO,Anthropology,399
ANTHRO 708A,Cultural Resource Management in Archaeology,ANTHRO,Anthropology,708A
ANTHRO 708B,Cultural Resource Management in Archaeology,ANTHRO,Anthropology,708B
ANTHRO 709,Applying Anthropology,ANTHRO,Anthropology,709
ANTHRO 713,Special Topic in Biological Anthropology,ANTHRO,Anthropology,713
ANTHRO 718A,Interpreting Biocultural Data,ANTHRO,Anthropology,718A
ANTHRO 718B,Interpreting Biocultural Data,ANTHRO,Anthropology,718B
ANTHRO 719,Ethnographic Practice and Design,ANTHRO,Anthropology,719
ANTHRO 719A,Ethnographic Practice and Design,ANTHRO,Anthropology,719A
ANTHRO 719B,Ethnographic Practice and Design,ANTHRO,Anthropology,719B
ANTHRO 724,Special Topic in Social Anthropology,ANTHRO,Anthropology,724
ANTHRO 727,Ethnographies of Music-making,ANTHRO,Anthropology,727
ANTHRO 727A,Ethnographies of Music-making,ANTHRO,Anthropology,727A
ANTHRO 727B,Ethnographies of Music-making,ANTHRO,Anthropology,727B
ANTHRO 728,Topic in Ethnomusicology,ANTHRO,Anthropology,728
ANTHRO 729,Special Studies in Anthropology,ANTHRO,Anthropology,729
ANTHRO 729A,Special Studies in Anthropology,ANTHRO,Anthropology,729A
ANTHRO 729B,Special Studies in Anthropology,ANTHRO,Anthropology,729B
ANTHRO 732,Reading Medical Ethnography,ANTHRO,Anthropology,732
ANTHRO 733,Research in Popular Music Culture,ANTHRO,Anthropology,733
ANTHRO 733A,Research in Popular Music Culture,ANTHRO,Anthropology,733A
ANTHRO 733B,Research in Popular Music Culture,ANTHRO,Anthropology,733B
ANTHRO 735,Special Topic in Anthropology,ANTHRO,Anthropology,735
ANTHRO 736,Special Studies in Anthropology,ANTHRO,Anthropology,736
ANTHRO 736A,Special Studies in Anthropology,ANTHRO,Anthropology,736A
ANTHRO 736B,Special Studies in Anthropology,ANTHRO,Anthropology,736B
ANTHRO 739,Special Studies in Anthropology,ANTHRO,Anthropology,739
ANTHRO 739A,Special Studies in Anthropology,ANTHRO,Anthropology,739A
ANTHRO 739B,Special Studies in Anthropology,ANTHRO,Anthropology,739B
ANTHRO 742,Contact and Colonialism,ANTHRO,Anthropology,742
ANTHRO 746,The Archaeology of the Anthropocene,ANTHRO,Anthropology,746
ANTHRO 747,Research Ethics,ANTHRO,Anthropology,747
ANTHRO 748,Human Osteology,ANTHRO,Anthropology,748
ANTHRO 749,Advanced Primatology,ANTHRO,Anthropology,749
ANTHRO 753,Ethnographic Research,ANTHRO,Anthropology,753
ANTHRO 758,Special Topic in Archaeology,ANTHRO,Anthropology,758
ANTHRO 759,Kaitiakitanga: Protecting our Planet,ANTHRO,Anthropology,759
ANTHRO 760,Anthropological Theory and the Contemporary World,ANTHRO,Anthropology,760
ANTHRO 762,Theorising Human Evolution,ANTHRO,Anthropology,762
ANTHRO 763,Contemporary Bio-Anthropology,ANTHRO,Anthropology,763
ANTHRO 766,Landscape Archaeology,ANTHRO,Anthropology,766
ANTHRO 767,Special Topic: The Anthropology of Material Culture,ANTHRO,Anthropology,767
ANTHRO 768,Anthropology of Markets,ANTHRO,Anthropology,768
ANTHRO 769,Global Health and Development,ANTHRO,Anthropology,769
ANTHRO 776,Special Topic,ANTHRO,Anthropology,776
ANTHRO 777,Theory in Archaeology,ANTHRO,Anthropology,777
ANTHRO 780,Research Project,ANTHRO,Anthropology,780
ANTHRO 780A,Research Project,ANTHRO,Anthropology,780A
ANTHRO 780B,Research Project,ANTHRO,Anthropology,780B
ANTHRO 782,Research Essay,ANTHRO,Anthropology,782
ANTHRO 790,Dissertation in Anthropology,ANTHRO,Anthropology,790
ANTHRO 790A,Dissertation in Anthropology,ANTHRO,Anthropology,790A
ANTHRO 790B,Dissertation in Anthropology,ANTHRO,Anthropology,790B
ANTHRO 792,Dissertation in Anthropology,ANTHRO,Anthropology,792
ANTHRO 792A,Dissertation in Anthropology,ANTHRO,Anthropology,792A
ANTHRO 792B,Dissertation in Anthropology,ANTHRO,Anthropology,792B
ANTHRO 796A,Thesis,ANTHRO,Anthropology,796A
ANTHRO 796B,Thesis,ANTHRO,Anthropology,796B
ANTHRO 797A,Research Portfolio,ANTHRO,Anthropology,797A
ANTHRO 797B,Research Portfolio,ANTHRO,Anthropology,797B
ARCHDES 102,Design 1,ARCHDES,Architectural Design,102
ARCHDES 103,Design 2,ARCHDES,Architectural Design,103
ARCHDES 200,Design 3,ARCHDES,Architectural Design,200
ARCHDES 201,Design 4,ARCHDES,Architectural Design,201
ARCHDES 300,Design 5,ARCHDES,Architectural Design,300
ARCHDES 301,Design 6,ARCHDES,Architectural Design,301
ARCHDES 302,Directed Study,ARCHDES,Architectural Design,302
ARCHDES 700,Advanced Design 1,ARCHDES,Architectural Design,700
ARCHDES 701,Advanced Design 2,ARCHDES,Architectural Design,701
